Date ,Open,High,Low,Close,Volume
19-Apr-11,"1,144.60","1,169.40","1,140.00","1,164.70","15,60,112"
20-Apr-11,"1,179.80","1,224.00","1,179.55","1,218.70","26,69,274"
21-Apr-11,"1,241.00","1,245.80","1,170.85","1,192.10","86,66,984"
25-Apr-11,"1,197.00","1,204.00","1,172.65","1,197.85","20,95,776"
26-Apr-11,"1,200.00","1,202.00","1,180.35","1,189.00","15,77,623"
27-Apr-11,"1,194.95","1,194.95","1,176.05","1,180.60","8,87,239"
28-Apr-11,"1,180.15","1,183.50","1,155.60","1,158.65","14,23,097"
29-Apr-11,"1,172.00","1,172.00","1,150.25","1,165.65","9,33,348"
02-May-11,"1,170.00","1,177.50","1,152.50","1,158.45","7,71,535"
03-May-11,"1,162.00","1,162.00","1,131.00","1,138.45","10,60,078"
04-May-11,"1,146.00","1,146.00","1,115.15","1,137.05","13,61,467"
05-May-11,"1,145.00","1,145.00","1,108.10","1,115.00","9,42,798"
06-May-11,"1,120.00","1,153.50","1,119.75","1,148.95","12,02,674"
09-May-11,"1,150.00","1,151.95","1,124.50","1,135.55","5,06,116"
10-May-11,"1,133.00","1,159.95","1,128.00","1,139.90","7,64,579"
11-May-11,"1,139.00","1,151.70","1,126.10","1,140.25","7,30,335"
12-May-11,"1,133.90","1,133.90","1,108.35","1,111.75","12,70,229"
13-May-11,"1,112.00","1,142.30","1,112.00","1,127.10","11,82,744"
16-May-11,"1,121.00","1,147.40","1,120.00","1,131.10","11,13,684"
17-May-11,"1,122.05","1,149.20","1,122.05","1,141.70","6,95,707"
18-May-11,"1,142.25","1,161.50","1,142.25","1,155.05","11,12,590"
19-May-11,"1,165.00","1,170.00","1,156.00","1,164.85","10,25,461"
20-May-11,"1,173.75","1,183.40","1,163.25","1,175.00","10,25,300"
23-May-11,"1,164.00","1,170.50","1,150.00","1,166.55","10,08,642"
24-May-11,"1,162.65","1,172.80","1,139.15","1,149.90","8,40,997"
25-May-11,"1,149.10","1,149.90","1,120.00","1,128.60","9,33,735"
26-May-11,"1,139.00","1,143.00","1,120.00","1,135.75","10,30,109"
27-May-11,"1,148.55","1,149.90","1,136.30","1,144.55","6,43,352"
30-May-11,"1,151.00","1,159.95","1,142.30","1,151.95","5,70,434"
31-May-11,"1,155.00","1,177.70","1,150.10","1,157.15","13,22,077"
01-Jun-11,"1,157.00","1,177.00","1,157.00","1,175.40","4,91,193"
02-Jun-11,"1,158.90","1,172.00","1,156.65","1,167.75","8,48,827"
03-Jun-11,"1,166.00","1,175.00","1,150.00","1,152.10","6,83,904"
06-Jun-11,"1,140.00","1,168.00","1,140.00","1,164.35","6,78,537"
07-Jun-11,"1,163.00","1,183.15","1,158.00","1,179.30","9,18,721"
08-Jun-11,"1,171.90","1,185.00","1,163.50","1,181.40","10,63,835"
